Product Name,Type,Sales Quantity,Purchase Quantity,Stock Added,Stock Removed,Net Adjustment,Current Stock,Stock Status
"bupikam","inj",500,9990,0,0,0,9490,In Stock
"ferrokam","inj",215,5000,0,7,-7,4380,In Stock
"bupikam heavy","inj",395,5040,120,5,115,4313,In Stock
"lidokam plus","inj",403,5280,0,412,-412,4168,In Stock
"ecopred 5","tab",25621,33250,0,3366,-3366,4118,In Stock
"diclokam 75","inj",590,4940,0,18,-18,3925,In Stock
"tranekam","inj",1182,5000,0,0,0,3808,In Stock
"ecopine","eye drop",405,4680,2,4,-2,3591,In Stock
"carboxykam 0.5","eye drop",5762,9360,0,0,0,3558,In Stock
"glycikam sr 1000","tab",85,3600,0,0,0,3064,In Stock
"glycikam sr 500","tab",185,3600,0,0,0,3050,In Stock
"lotekam","eye drop",2223,5180,0,4,-4,3026,In Stock
"tadakam 20","tab",777,3900,4,7,-3,2991,In Stock
"glycikam sr g1","tab",180,3500,0,0,0,2865,In Stock
"profokam","inj",1260,4590,0,2,-2,2852,In Stock
"hyalukam","eye drop",1860,4910,2,204,-202,2765,In Stock
"telmakam 40","tab",150,3260,0,0,0,2740,In Stock
"telmakam 20","tab",47,3260,0,0,0,2733,In Stock
"rosukam 10","tab",538,3260,508,4,504,2652,In Stock
"pankam","inj",10735,10330,229,2,227,2389,In Stock
"ecovastin 10","tab",2258,6450,0,1529,-1529,2299,In Stock
"sirmox 250 cap","cap",4546,7640,0,135,-135,2289,In Stock
"rosukam 20","tab",909,3280,0,4,-4,2198,In Stock
"lidokam","inj",2549,5265,0,631,-631,2079,In Stock
"ecozole 400","tab",3178,4992,206,13.1,192.9,1979.9,In Stock
"atrokam 0.6","inj",269,2550,0,2,-2,1966,In Stock
"esoprazole 20","cap",4716.5,7200,0,370,-370,1956.5,In Stock
"ecomol 500","tab",15753,19867,0,5492,-5492,1756,In Stock
"dorzakam","eye drop",1200,5140,2,1134,-1132,1749,In Stock
"acekam p forte","tab",2941,5000,20,3,17,1713,In Stock
"ecovastin 20","tab",3177,6630,0,1678,-1678,1668,In Stock
"sirmox 500","cap",16924.5,22995,0,5115,-5115,1510.5,In Stock
"ecoflaz 6","tab",1869.5,3560,0,191,-191,1406.5,In Stock
"esoprazole 40","cap",635,2000,0,3,-3,1239,In Stock
"liasix","inj",973,1969,0,0,0,996,In Stock
"becofast z","cap",708.5,1485,0,0,0,664.5,In Stock
"etorikam 90","tab",566,1480,0,2,-2,631,In Stock
"paracare plus","N/A",1408,2000,0,0,0,592,In Stock
"ondekam","inj",4052,5100,0,819,-819,528,In Stock
"ecolevo 500","tab",4214.2,5146,0,1281,-1281,519.8,In Stock
"platokam 75","tab",233,960,0,0,0,478,In Stock
"ecozin m","tab",7169,7936,0,289,-289,447,In Stock
"carespas","tab",1089,1230,0,0,0,273,In Stock
"ecothrocin 250","tab",742,1000,0,1,-1,167,In Stock
"sirmox cl 1000","tab",4048.5,4962,0,946,-946,150.5,In Stock
"sirmox cl 625","tab",6288.8,6469,0,104,-104,116.2,In Stock
"glycikam sr g2","tab",418,3570,56,3110,-3054,28,In Stock
"sirmox cl 228.5","bottle",54717,63970,15,9503,-9488,15,In Stock
"kamzole 200","tab",4397.5,5937,0,1534,-1534,0.5,Low Stock
"ecocid 20","cap",76953,88747,0,35259,-35259,0,Out of Stock
"ecofloxcin 200","tab",6707,8827,0,7974,-7974,0,Out of Stock
"ecozin 5","tab",4094,3850,0,261,-261,0,Out of Stock
"metcare 500","tab",2467,3540,0,1073,-1073,0,Out of Stock
"amlocare 5","N/A",2448,3430,0,0,0,0,Unknown
"digekam","tab",1239,1485,0,198,-198,0,Out of Stock
"ecothrocin 500","tab",5163.799999999999,5962,0,950,-950,-43.799999999999955,In Stock
"ecoflam 400","tab",11131,15850,0,14454,-14454,-100,Out of Stock
"alu alu ecocid 20","cap",682,1000,0,328,-328,-112,Out of Stock
"suprafen 500","tab",9073,9399,275,708,-433,-395,Out of Stock
"sirmox 250 syp","bottle",9327,11070,150,2168,-2018,-425,Out of Stock
