Database,Product Name,Supplier,Active Amount,MR Deductions,Active Boxes,Expired Boxes,Removed Boxes,Potential Revenue,Status
test,"ecocid 20","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"ecoflam 400","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"ecofloxcin 200","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"ecolevo 500","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"ecomol 500","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"ecopred 5","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"ecothrocin 500","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"ecovastin 10","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"ecovastin 20","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"ecozin 5","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"ecozin m","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"ecozole 400","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"esoprazole 20","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"kamzole 200","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"sirmox 250 cap","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"sirmox cl 1000","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"sirmox cl 228.5","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"sirmox cl 625","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"suprafen 500","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"sirmox 500","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"sirmox 250 syp","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"ecoflaz 6","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"liasix","merit organics co ltd",0.00,0.00,0,0,0,0.00,undefined
test,"carboxykam 0.5","kamla lifesciences ltd",0.00,0.00,0,0,0,0.00,undefined
test,"bupikam","kamla lifesciences ltd",0.00,0.00,0,0,0,0.00,undefined
test,"tranekam","kamla lifesciences ltd",0.00,0.00,0,0,0,0.00,undefined
test,"carespas","merit organics co ltd",0.00,0.00,0,0,0,0.00,undefined
test,"rosukam 10","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"rosukam 20","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"ecothrocin 250","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"platokam 75","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"becofast z","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"digekam","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"lidokam","kamla lifesciences ltd",0.00,0.00,0,0,0,0.00,undefined
test,"lidokam plus","kamla lifesciences ltd",0.00,0.00,0,0,0,0.00,undefined
test,"dorzakam","kamla lifesciences ltd",0.00,0.00,0,0,0,0.00,undefined
test,"ecopine","kamla lifesciences ltd",0.00,0.00,0,0,0,0.00,undefined
test,"hyalukam","kamla lifesciences ltd",0.00,0.00,0,0,0,0.00,undefined
test,"ondekam","kamla lifesciences ltd",0.00,0.00,0,0,0,0.00,undefined
test,"atrokam 0.6","kamla lifesciences ltd",0.00,0.00,0,0,0,0.00,undefined
test,"diclokam 75","kamla lifesciences ltd",0.00,0.00,0,0,0,0.00,undefined
test,"ferrokam","kamla lifesciences ltd",0.00,0.00,0,0,0,0.00,undefined
test,"profokam","kamla lifesciences ltd",0.00,0.00,0,0,0,0.00,undefined
test,"lotekam","kamla lifesciences ltd",0.00,0.00,0,0,0,0.00,undefined
test,"bupikam heavy","kamla lifesciences ltd",0.00,0.00,0,0,0,0.00,undefined
test,"pankam","kamla lifesciences ltd",0.00,0.00,0,0,0,0.00,undefined
test,"glycikam sr 500","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"glycikam sr 1000","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"glycikam sr g1","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"glycikam sr g2","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"telmakam 20","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"telmakam 40","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"esoprazole 40","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"tadakam 20","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"acekam p forte","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"etorikam 90","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"alu alu ecocid 20","impulse pharma pvt ltd",0.00,0.00,0,0,0,0.00,undefined
test,"amlocare","merit organics co ltd",0.00,0.00,0,0,0,0.00,undefined
test,"metcare 500","merit organics co ltd",0.00,0.00,0,0,0,0.00,undefined
